Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
11	1726	2	19	43	24	16.5	33.2	32.4
10	1032	1	18	53	18	14.9	48.7	27
9	728	3	19	57	15	17.6	58.9	21.7
8	569	6	60	51	20	61.1	49.4	27.4
7	568	7	59	38	26	60.5	35.2	31.9
6	534	5	60	45	23	61.1	43.2	28.8
5	453	11	21	53	41	19.5	52.9	47.3
4	372	9	58	57	16	58	60.3	20
3	367	8	59	55	18	61.5	55.9	24.8
2	305	4	14	43	25	11.5	40.8	30.9
1	248	12	17	57	33	15.9	60.8	36.1
