bin1_Thematic_F1,bin1_Thematic_FZ,bin1_Thematic_F2,bin1_Thematic_FC1,bin1_Thematic_FCZ,bin1_Thematic_FC2,bin1_Thematic_C1,bin1_Thematic_CZ,bin1_Thematic_C2,Thematic ,bin2_Not_Related__F1,bin2_Not_Related__FZ,bin2_Not_Related__F2,bin2_Not_Related__FC1,bin2_Not_Related__FCZ,bin2_Not_Related__FC2,bin2_Not_Related__C1,bin2_Not_Related__CZ,bin2_Not_Related__C2,Not Related,bin3_Category_F1,bin3_Category_FZ,bin3_Category_F2,bin3_Category_FC1,bin3_Category_FCZ,bin3_Category_FC2,bin3_Category_C1,bin3_Category_CZ,bin3_Category_C2,Category,Related
0.83,1.1,1.42,-1.64,-0.02,1.23,-1.48,-0.52,1.21,0.236666667,2.09,1.96,1.11,4.87,1.83,-2.13,1.26,1.68,0.06,1.414444444,0.83,-0.58,-0.58,1.67,-0.28,-0.24,-0.56,-1.63,-0.53,-0.211111111,0.012777778
-0.23,-0.77,-0.63,0.15,-0.39,-0.33,0.03,0.03,0.01,-0.236666667,-1.11,-2.16,-0.71,-0.49,-0.84,-0.63,-0.19,-0.1,-0.28,-0.723333333,-0.54,-1.51,-1.12,-0.4,-1.15,-0.67,-0.17,-0.19,-0.12,-0.652222222,-0.444444444
-0.47,-2.13,-1.35,-0.18,-0.64,-0.92,-0.09,-1.64,-1.14,-0.951111111,-1.1,-1.47,-1.04,-0.53,-1.07,-0.71,-1.15,-1.83,-0.97,-1.096666667,-2.18,-2.93,-2.42,-0.6,-1.03,-1.24,-0.13,-0.78,-0.64,-1.327777778,-1.139444444
-0.97,-0.62,-0.48,-0.67,-0.24,0.01,-0.47,0.21,0.23,-0.333333333,-0.67,0.32,0.34,-0.64,0.14,0.17,-0.52,-0.11,-0.08,-0.116666667,-1.24,-0.85,-0.73,-0.6,-0.33,-0.21,-0.58,-0.29,-0.07,-0.544444444,-0.438888889
-0.72,-1.21,-0.43,-0.77,-0.81,-0.23,-0.82,-2.44,-0.53,-0.884444444,-0.1,-2.96,-4.26,-0.16,-0.45,-0.79,0.76,1.71,0.29,-0.662222222,-0.37,-0.33,0.01,0.18,-0.3,-0.22,-0.23,-2.01,-0.51,-0.42,-0.652222222
-2.49,-1.58,-2.12,-1.32,-0.91,-2.15,-0.67,-1.36,-1.97,-1.618888889,-1.39,-0.67,-1.42,0.16,0.15,-0.47,1.06,-0.37,-1.83,-0.531111111,-2.65,-1.07,-0.39,-2.63,-2.01,-1.08,-1.37,-2.16,-1.23,-1.621111111,-1.62
0.63,0.33,-0.7,0.68,-0.13,-1.18,0,-0.5,-1.79,-0.295555556,1.37,1.02,1.35,-0.01,0.24,0.4,0.22,0.18,-0.16,0.512222222,0.19,-0.32,1.16,-0.17,-1.72,-0.02,-0.38,-0.78,-1.42,-0.384444444,-0.34
1.71,1.95,2.74,-0.81,0.98,0.86,-2.04,-1.24,-0.72,0.381111111,-0.51,-0.56,0.96,-1.01,-0.6,-0.31,-0.76,-0.11,0.33,-0.285555556,0.2,0.02,0.82,-2.15,-1.3,-0.95,-1.7,-1.37,-0.23,-0.74,-0.179444444
1.95,0.92,3.83,-0.05,-0.46,0.91,-1.08,-1.04,-0.67,0.478888889,2.98,1.77,2.51,-0.19,-0.23,0.57,-1.38,-1.01,-0.72,0.477777778,-0.75,-0.58,0.38,-0.09,-0.23,0.2,0.01,-0.06,-0.97,-0.232222222,0.123333333
-0.2,-1.64,-0.56,-0.55,-1.23,-1.67,-0.64,-0.89,-1.64,-1.002222222,-0.56,-1.54,-1.7,-0.32,-0.83,-1.94,0.28,-0.01,-1.26,-0.875555556,-0.57,-2.25,-0.98,-0.65,-1.03,-1.89,0.14,0.1,-1.01,-0.904444444,-0.953333333
0.84,0.26,0.7,0.6,0.3,0.77,-0.43,0.23,0.7,0.441111111,-0.3,0.12,-0.38,0.54,0.03,0.11,-0.14,-0.05,-0.45,-0.057777778,-0.36,-0.47,-1.22,0.89,0.24,-0.94,-0.08,0.26,-0.23,-0.212222222,0.114444444
0.77,1.2,1.82,-0.3,0.01,1.06,-0.37,-0.19,0.64,0.515555556,-0.64,-0.13,0.32,-0.88,0.08,0.66,-0.37,-0.06,0.24,-0.086666667,0.36,-0.85,-1.08,-0.12,-1.41,-2.5,0.1,-1.91,-1.07,-0.942222222,-0.213333333
0.43,0.61,1.1,0.37,0.5,-0.45,-0.04,0.1,-0.24,0.264444444,0.57,0.35,0.47,0.38,0.13,-0.4,0.04,-0.28,-0.78,0.053333333,-0.26,-0.72,-1.49,-0.12,-0.81,-1.02,0.28,-0.44,-0.87,-0.605555556,-0.170555556
0.72,0.91,1.25,-0.28,0.96,0.54,-0.49,-0.99,-0.17,0.272222222,0.46,0.73,1.23,2.21,0.37,0.84,2.08,2.15,1.14,1.245555556,0.34,0.65,1.09,1.22,0.59,0.27,1.76,1.67,1.05,0.96,0.616111111
-1.4,-1.18,-0.93,-0.58,-0.37,-1.6,-0.46,0,-0.12,-0.737777778,-0.94,-1.02,-1.61,-0.87,-0.54,-1.98,-0.57,-0.39,0.05,-0.874444444,-2.27,-0.88,-0.76,-0.37,-0.6,-1.71,-0.22,-0.33,-0.8,-0.882222222,-0.81
0.72,0.46,0.7,0.37,0.32,0.54,0.02,-0.35,-0.16,0.291111111,0.34,0,-0.54,0.17,-0.8,-1.06,-0.37,-0.56,-0.71,-0.392222222,-0.24,-0.31,-0.43,-0.15,0.11,-0.36,-0.28,-0.24,-0.32,-0.246666667,0.022222222
-0.94,-0.82,-0.8,-0.7,-0.59,0.22,-1.18,-1.53,-0.64,-0.775555556,-2.94,-1.87,-1.83,-1.46,-1.57,-2.99,-1.44,-1.33,-2,-1.936666667,0.82,0.89,0.93,0.81,0.92,0.74,1.11,1.99,0.51,0.968888889,0.096666667
1.95,1.94,1.76,0.74,0.88,1.01,-0.69,-0.99,-1.1,0.611111111,0.95,0.96,0.54,0.31,0.07,-0.34,-0.72,-1.08,-2.06,-0.152222222,0.41,0.41,0.06,0.38,0.16,-0.69,0.25,-0.08,0.12,0.113333333,0.362222222
0.37,0.31,0.17,-0.24,-0.2,-0.21,-0.26,-0.31,-0.24,-0.067777778,-0.45,-0.6,-0.42,-0.97,-0.48,-0.33,-0.5,-0.44,-0.3,-0.498888889,-0.32,-0.9,-0.28,-0.04,-0.61,-0.1,-0.42,-0.53,-0.47,-0.407777778,-0.237777778
0.68,0.82,0.55,1.37,0.39,1.06,-0.39,-0.04,0.65,0.565555556,1.73,1.22,-0.01,0.56,0.51,-0.37,0.21,-0.71,-2.13,0.112222222,1.94,2.05,1.43,2.14,0.94,1.61,-0.04,-0.44,-0.52,1.012222222,0.788888889
