Filename,NDW.eng
ER1_FOHO_C01160_P2Y3W1,87
ER1_FOHO_C01162_P2Y3W1,110
ER1_FOHO_C01171_P2Y3W1,98
ER1_FOHO_C01185_P2Y3W1,73
ER1_FOHO_C01211_P2Y3W1,77
ER1_FOHO_C01222_P2Y3W1,83
ER1_FOHO_C01226_P2Y3W1,116
ER1_FOHO_C01262_P2Y3W1,41
ER1_FOHO_C01265_P2Y3W1,95
ER1_FOHO_C01294_P2Y3W1,71
ER1_FOHO_C01298_P2Y3W1,82
ER1_FOHO_C01336_P2Y3W1,90
ER1_FOHO_C02230_P2Y3W1,74
ER1_FOHO_C02232_P2Y3W1,59
ER1_FOHO_C02234_P2Y3W1,69
ER1_FOHO_C02239_P2Y3W1,45
ER1_FOHO_C02255_P2Y3W1,68
ER1_FOHO_C02262_P2Y3W1,93
ER1_FOHO_C02267_P2Y3W1,57
ER1_FOHO_C02274_P2Y3W1,70
ER1_FOHO_C02276_P2Y3W1,93
ER1_FOHO_C02277_P2Y3W1,49
ER1_FOHO_C02278_P2Y3W1,59
ER1_FOHO_C02279_P2Y3W1,65
ER1_FOHO_C02282_P2Y3W1,85
ER1_FOHO_C02287_P2Y3W1,50
ER1_FOHO_C02295_P2Y3W1,79
ER1_FOHO_C02297_P2Y3W1,82
ER1_FOHO_C02315_P2Y3W1,56
ER1_FOHO_C02325_P2Y3W1,97
ER1_FOHO_C02335_P2Y3W1,73
ER1_FOHO_C02351_P2Y3W1,59
ER1_FOHO_C02352_P2Y3W1,70
ER1_FOHO_C02356_P2Y3W1,63
ER1_FOHO_C02359_P2Y3W1,56
ER1_FOHO_C02363_P2Y3W1,79
ER1_FOHO_C02364_P2Y3W1,47
ER1_FOHO_C02365_P2Y3W1,130
ER1_FOHO_C02368_P2Y3W1,47
ER1_FOHO_C02373_P2Y3W1,89
ER1_FOHO_C02376_P2Y3W1,76
ER1_FOHO_C02378_P2Y3W1,106
ER1_FOHO_C02381_P2Y3W1,60
ER1_FOHO_C02383_P2Y3W1,79
ER1_FOHO_C02384_P2Y3W1,87
ER1_FOHO_C02386_P2Y3W1,80
ER1_FOHO_C02388_P2Y3W1,81
ER1_FOHO_C02389_P2Y3W1,91
ER1_FOHO_C02397_P2Y3W1,100
ER1_FOHO_C02415_P2Y3W1,59
ER1_FOHO_C02416_P2Y3W1,62
ER1_FOHO_C02423_P2Y3W1,76
ER1_FOHO_C02425_P2Y3W1,49
ER1_FOHO_C02426_P2Y3W1,62
ER1_FOHO_C02434_P2Y3W1,62
ER1_FOHO_C02442_P2Y3W1,98
ER1_FOHO_C02443_P2Y3W1,91
ER1_FOHO_C02448_P2Y3W1,83
ER1_FOHO_C02449_P2Y3W1,75
ER1_FOHO_C02450_P2Y3W1,100
ER1_FOHO_C02475_P2Y3W1,81
ER1_FOHO_C02476_P2Y3W1,90
ER1_FOHO_C02478_P2Y3W1,102
ER1_FOHO_C02479_P2Y3W1,65
ER1_FOHO_C02481_P2Y3W1,104
ER1_FOHO_C02482_P2Y3W1,123
ER1_FOHO_C02483_P2Y3W1,56
ER1_FOHO_C02484_P2Y3W1,46
ER1_FOHO_C02488_P2Y3W1,56
ER1_FOHO_C02489_P2Y3W1,78
ER1_FOHO_C02492_P2Y3W1,75
ER1_FOHO_C02493_P2Y3W1,83
ER1_FOHO_C02496_P2Y3W1,82
ER1_FOHO_C02498_P2Y3W1,73
ER1_FOHO_C02502_P2Y3W1,71
ER1_FOHO_C02503_P2Y3W1,62
ER1_FOHO_C02506_P2Y3W1,65
ER1_FOHO_C02507_P2Y3W1,48
ER1_FOHO_C02551_P2Y3W1,75
ER1_FOHO_C02552_P2Y3W1,66
ER1_FOHO_C02576_P2Y3W1,73
ER1_FOHO_C02579_P2Y3W1,73
ER1_FOHO_C02588_P2Y3W1,82
ER1_FOHO_C02594_P2Y3W1,59
ER1_FOHO_C02596_P2Y3W1,74
ER1_FOHO_C02599_P2Y3W1,63
ER1_FOHO_C02619_P2Y3W1,97
ER1_FOHO_C02626_P2Y3W1,28
ER1_FOHO_C02637_P2Y3W1,55
ER1_FOHO_C02640_P2Y3W1,88
ER1_FOHO_C02645_P2Y3W1,52
ER1_FOHO_C02647_P2Y3W1,68
ER1_FOHO_C02651_P2Y3W1,56
ER1_FOHO_C02661_P2Y3W1,75
ER1_FOHO_C02663_P2Y3W1,61
ER1_FOHO_C02808_P2Y3W1,76
ER1_FOHO_C02834_P2Y3W1,101
ER1_FOHO_C03008_P2Y3W1,80
ER1_FOHO_C03012_P2Y3W1,76
ER1_FWAY_C00022_P2Y4W1,71
ER1_FWAY_C00125_P2Y4W1,57
ER1_FWAY_C00142_P2Y4W1,81
ER1_FWAY_C00167_P2Y4W1,104
ER1_FWAY_C02277_P2Y4W1,87
ER1_OFTM_C00015_P2Y3W2,87
ER1_OFTM_C00020_P2Y3W2,133
ER1_OFTM_C00022_P2Y3W2,54
